Ключ;Название;Приоритет;Статус;Обновлено;Создано;Описание;Метки
CRFLOMNIB-3139;Не проходит деплой для сервиса acrp-app-core-ui на K3-C | ИФТ;Средний;Выполнено;14.09.2025;12.09.2025;"<p><strong>Ссылка на джобу: </strong>https://sfera.test.vtb.ru/orchestration2/dashboard/ACRP/project/894f4adf-ed08-4be0-b672-05c2575957e0/builds/3853878<br /><br /><strong>Лог:</strong></p>
<p>[2025-09-12 18:13:49.700] INFO &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;==== ?? Deploy app:acrp-app-core-ui version:3.4.1.4 to envName: k3-c ====</p>
<p>[2025-09-12 18:13:49.700] INFO &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;Syncing</p>
<p>[2025-09-12 18:13:49.700] INFO &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;exec: helmfile -e k3-c -f /app/jenkins-agent/workspace/ACRP/CDL/MICROSERVICES/Deploy/inventory/helmfile/modules/acrp-app-core-ui/helmfile.yaml --state-values-set image.tag=3.4.1.4 sync --state-values-set commonAnnotations.inventoryBranch=delivery/releaseCDL/release/RL-T1-118345</p>
<p>[2025-09-12 18:13:49.700] skipping missing environment values file matching ""../../common/k3/secrets.yam""</p>
<p>[2025-09-12 18:13:49.701] skipping missing environment values file matching ""../../common/k3-c/secrets.yaml""</p>
<p>[2025-09-12 18:13:49.701] skipping missing environment values file matching ""../../common/k3/secrets.yam""</p>
<p>[2025-09-12 18:13:49.701] skipping missing environment values file matching ""../../common/k3-c/secrets.yaml""</p>
<p>[2025-09-12 18:13:49.701] skipping missing environment values file matching ""../../common/k3/secrets.yam""</p>
<p>[2025-09-12 18:13:49.701] skipping missing environment values file matching ""../../common/k3-c/secrets.yaml""</p>
<p>[2025-09-12 18:13:49.701] skipping missing environment values file matching ""../../nginx/k3-c/values.yaml""</p>
<p>[2025-09-12 18:13:49.701] skipping missing environment values file matching ""../../nginx/k3/secrets.yaml""</p>
<p>[2025-09-12 18:13:49.701] skipping missing environment values file matching ""../../nginx/k3-c/secrets.yaml""</p>
<p>[2025-09-12 18:13:49.701] skipping missing environment values file matching ""../../nginx/k3-c/values.yaml""</p>
<p>[2025-09-12 18:13:49.701] skipping missing environment values file matching ""../../nginx/k3/secrets.yaml""</p>
<p>[2025-09-12 18:13:49.701] skipping missing environment values file matching ""../../nginx/k3-c/secrets.yaml""</p>
<p>[2025-09-12 18:13:49.701] skipping missing environment values file matching ""../../nginx/k3-c/values.yaml""</p>
<p>[2025-09-12 18:13:49.701] skipping missing environment values file matching ""../../nginx/k3/secrets.yaml""</p>
<p>[2025-09-12 18:13:49.701] skipping missing environment values file matching ""../../nginx/k3-c/secrets.yaml""</p>
<p>[2025-09-12 18:13:49.701] skipping missing environment values file matching ""k3/secrets.yaml""</p>
<p>[2025-09-12 18:13:49.701] skipping missing environment values file matching ""k3-c/secrets.yaml""</p>
<p>[2025-09-12 18:13:49.701] skipping missing environment values file matching ""k3/secrets.yaml""</p>
<p>[2025-09-12 18:13:49.701] skipping missing environment values file matching ""k3-c/secrets.yaml""</p>
<p>[2025-09-12 18:13:49.701] skipping missing environment values file matching ""k3/secrets.yaml""</p>
<p>[2025-09-12 18:13:49.701] skipping missing environment values file matching ""k3-c/secrets.yaml""</p>
<p>[2025-09-12 18:13:49.701] Pulling docker.repo-cd.sfera.test.vtb.ru/acrp-docker-test-g/helm/nginx:~2.1.0</p>
<p>[2025-09-12 18:13:50.103] skipping missing values file matching ""../../nginx/k3-c/values.yaml.gotmpl""</p>
<p>[2025-09-12 18:13:50.103] Upgrading release=acrp-app-core-ui, chart=/tmp/helmfile961639839/ifk8s-acrp-8d7be0-acrp/acrp-app-core-ui/acrp-docker-test-g/helm/nginx/_2.1.0/nginx</p>
<p>[2025-09-12 18:13:50.499]&nbsp;</p>
<p>[2025-09-12 18:13:50.499] FAILED RELEASES:</p>
<p>[2025-09-12 18:13:50.499] NAME &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; CHART &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; VERSION &nbsp; DURATION</p>
<p>[2025-09-12 18:13:50.499] acrp-app-core-ui &nbsp; sferaCDLociRegistry/acrp-docker-test-g/helm/nginx &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; 0s</p>
<p>[2025-09-12 18:13:50.499]&nbsp;</p>
<p>[2025-09-12 18:13:50.499] in /app/jenkins-agent/workspace/ACRP/CDL/MICROSERVICES/Deploy/inventory/helmfile/modules/acrp-app-core-ui/helmfile.yaml: failed processing release acrp-app-core-ui: command ""/usr/bin/helm"" exited with non-zero status:</p>
<p>[2025-09-12 18:13:50.499]&nbsp;</p>
<p>[2025-09-12 18:13:50.499] PATH:</p>
<p>[2025-09-12 18:13:50.499] &nbsp; /usr/bin/helm</p>
<p>[2025-09-12 18:13:50.499]&nbsp;</p>
<p>[2025-09-12 18:13:50.499] ARGS:</p>
<p>[2025-09-12 18:13:50.499] &nbsp; 0: helm (4 bytes)</p>
<p>[2025-09-12 18:13:50.499] &nbsp; 1: upgrade (7 bytes)</p>
<p>[2025-09-12 18:13:50.499] &nbsp; 2: --install (9 bytes)</p>";devops_инструменты,devops_support
CRFLOMNIA-2451;необходимо создать топики в кафке ИФТ;Средний;Выполнено;15.09.2025;12.09.2025;"<p>стенд K3<br />ис 2199</p>
<p>&nbsp;</p>
<p>необходимо создать топик</p>
<p>- int.ppcf.repair-operations-execution.s1.v1</p>
<p>- int.ppcf.repair-operations-execution.s1.v1-retry-0</p>
<p>- int.ppcf.repair-operations-execution.s1.v1-retry-1</p>
<p>- int.ppcf.repair-operations-execution.s1.v1-dlt</p>
<p>- int.ppcf.repair-operations-execution.s2.v1</p>
<p>- int.ppcf.repair-operations-execution.s2.v1-retry-0</p>
<p>- int.ppcf.repair-operations-execution.s2.v1-retry-1</p>
<p>- int.ppcf.repair-operations-execution.s2.v1-dlt</p>
<p><br />в кафке <strong>dvppcf-00kfp001.innodev.local</strong><br />и выдать права консьюмера и продюссера для CN<br /><strong>APD0139-2199-kafka-if-client-ppcf</strong></p>";devops_support,devops_cloud_настройка
CRFLOMNIA-2450;необходимо создать топики в кафке;Средний;Выполнено;15.09.2025;12.09.2025;"<p>стенд DEV<br />ис 2199</p>
<p>&nbsp;</p>
<p>необходимо создать топик<br /><strong>- int.ppcf.repair-operations-execution.v1</strong></p>
<p>- int.ppcf.repair-operations-execution.v1-retry-0</p>
<p>- int.ppcf.repair-operations-execution.v1-retry-1</p>
<p>- int.ppcf.repair-operations-execution.v1-dlt<br />в кафке <strong>dvppcf-00kfp001.innodev.local</strong><br />и выдать права консьюмера и продюссера для CN<br /><strong>APD00.00-2199-kafka-dk-client-ppcf</strong></p>";devops_support,devops_cloud_настройка
CRFLOMNIN-611;1830 Ошибка при отработке ликвибейз - несовпадения чек суммы;Средний;Закрыто;12.09.2025;12.09.2025;"<p>При установке микросервиса crpr-cod-processor 0.5.1.1 появляется ошибка&nbsp;</p>
<p>ERROR: Exception Primary Source: &nbsp;4.30.0</p>
<p>Unexpected error running Liquibase: Validation Failed:<br />&nbsp; &nbsp; &nbsp;1 changesets check sum<br />&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; changelog/core-model/1.0.0/2025-07-23-add-data-in-tables.xml::20250723-1::smartynov was: 9:6cf7488cf231162b070dbcfe546b997a but is now: 9:f68c8e6cace33866ca671f7ca026ce8f</p>";devops_support,devops_cloud_настройка
CRFLDEVOPS-2103;ошибка джобы AccessK8S;Средний;Выполнено;12.09.2025;12.09.2025;"<p>При заведении заявки на доступ через джобу CDL/CLOUD/AccessK8S получена ошибка выполнения джобы:<br /><span style=""color: #d92020;"">error get clientId and clientSecret: unable to read secret: PPCF_SFERA/data/cloud/ift/service_account: context deadline exceeded</span><br />Джоба заводилась трижды для УЗ vtb4107766 с доменами @test.vtb.ru и @region.vtb.ru.<br />Все три завершились ошибкой:<br /><br />https://sfera.inno.local/orchestration7/dashboard/PPCF/project/2b83d835-896b-4115-9f48-66dbcc29ef2c/builds/1040200</p>
<p>https://sfera.inno.local/orchestration7/dashboard/PPCF/project/2b83d835-896b-4115-9f48-66dbcc29ef2c/builds/1041949</p>
<p>https://sfera.inno.local/orchestration7/dashboard/PPCF/project/2b83d835-896b-4115-9f48-66dbcc29ef2c/builds/1047682</p>";devops_cloud_доступ,devops_doul,devops_support
CRFLOMNIE-2320;DevOps. Не отрабатывает auto_check_bot;Высокий;Выполнено;24.09.2025;12.09.2025;"<p>Не запускается auto_check_bot на ПР в релизную ветку, но аппрув от него обязательный.</p>
<p>&nbsp;</p>
<p>Контур: DEV</p>
<p>CRPR ( 1830 ) - crpr-osrf-integration</p>
<p>&nbsp;</p>
<p>https://sfera.inno.local/sourcecode/projects/CRPR/repos/crpr-osrf-integration/pulls/1441013</p>";devops_support,devops_консультация
CRFLDEVOPS-2102;Не подхватывается базовый образ;Средний;Выполнено;12.09.2025;12.09.2025;"<p>сервис mort-main.</p>
<p>Не подхватывается базовый образ при сборке указан astra , а по факту redhat</p>";devops_support,devops_doul
CRFLOMNIH-4911;2200 Топики Kafka для Консоли Управления;Средний;Закрыто;19.09.2025;12.09.2025;"<p>Прошу создать для 2200 Kafka на средах DEV, DEVBAR, K3 топики Kafka и выдать ACL на чтение и запись для каждого из них</p>
<ul>
<li style=""font-size: 14px; line-height: 20px; font-weight: 400;"">
<p style=""font-size: 14px; line-height: 20px; font-weight: 400;"">int.ppea.correction-scenario.rq.v1</p>
</li>
<li style=""font-size: 14px; line-height: 20px; font-weight: 400;"">
<p style=""font-size: 14px; line-height: 20px; font-weight: 400;"">int.ppea.correction-scenario.rs.v1</p>
</li>
</ul>
<p>&nbsp;</p>
<ul>
<li>
<p style=""font-size: 14px; line-height: 20px; font-weight: 400;"">DEV</p>
</li>
</ul>
<p>KAFKA_PPEA_BROKER_LIST: dvppcf-00kfp001.innodev.local:9092</p>
<p>ppeaCN: APD0140-2200-dk-client-ppea</p>
<p>&nbsp;</p>
<ul>
<li>
<p style=""font-size: 14px; line-height: 20px; font-weight: 400;"">DEVBAR</p>
</li>
</ul>
<p>KAFKA_PPEA_BROKER_LIST: dvppcf-00kfp002.innodev.local:9092</p>
<p>ppeaCN: APD0140-2200-devbar-client-ppea</p>
<p>&nbsp;</p>
<ul>
<li>
<p style=""font-size: 14px; line-height: 20px; font-weight: 400;"">K3</p>
</li>
</ul>
<p>KAFKA_PPEA_BROKER_LIST: ifppea-kfc002lk.test.vtb.ru:9092,ifppea-kfc003lk.test.vtb.ru:9092,ifppea-kfc004lk.test.vtb.ru:9092</p>
<p>ppeaCN: APD0140-2200-if-client-ppea</p>";devops_support,devops_cloud_настройка
CRFLOMNIN-606;1830. Ошибка установки релиз RL-T1-116302 на ПРОД;Критический;Выполнено;12.09.2025;12.09.2025;<p>Описание в переписке во вложении</p>;devops_консультация,devops_support
CRFLOMNIL-2233;Не работает джоба сборки bff библиотеки;Высокий;Выполнено;12.09.2025;12.09.2025;<p>Не работает джоба сборки bff библиотеки. Падает по таймауту. Пробовал собирать руками - все отрабатывает. Запуск:<br />https://sfera.inno.local/orchestration3/dashboard/CASF/project/a7e6b23b-abbf-4d6a-a5e2-36a5d280f1f6/builds/1502604</p>;devops_support,devops_консультация
CRFLOMNIY-491;Упала сборка на стенде НТ;Средний;Закрыто;07.10.2025;12.09.2025;"<p>С вечера 10.09 релизы на 2199 не ставятся</p>
<p>STDERR:<br />[2025-09-11 19:54:09.549] &nbsp; Error: Kubernetes cluster unreachable: Get ""https://api.lk5-ppcf01.test.vtb.ru:8443/version"": dial tcp 10.230.61.138:8443: i/o timeout<br />[2025-09-11 19:54:09.549]&nbsp;<br />[2025-09-11 19:54:09.549] COMBINED OUTPUT:<br />[2025-09-11 19:54:09.549] &nbsp; Error: Kubernetes cluster unreachable: Get ""https://api.lk5-ppcf01.test.vtb.ru:8443/version"": dial tcp 10.230.61.138:8443: i/o timeout<br />[2025-09-11 19:54:09.549] INFO &nbsp; &nbsp;<br />[2025-09-11 19:54:09.549] INFO &nbsp; &nbsp;==================================================<br />[2025-09-11 19:54:09.549] INFO</p>";devops_support,devops_консультация,devops_инструменты
CRFLOMNIN-605;Настройка репозитория/джоб для нового МС acrp-cod-processor (2197);Высокий;Выполнено;12.09.2025;12.09.2025;<p>Настроить репозиторий/джобы для нового МС acrp-cod-processor (ИС 2197).<br />В реестр МС добавлен.<br />Репозиторий уже создан, но нужно перепроверить настройки.<br />Также добавить в оркестрацию все необходимое для раскатки и сборки (джобы).</p>;devops_support,devops_консультация,devops_инструменты
CRFLOMNIG2-270;DevOps. Не собирается поставка релиза из-за ошибки билда на этапе SCA;Высокий;Выполнено;12.09.2025;12.09.2025;"<p>Контур-CI</p>
<p>ИС - 2201 / GRCR</p>
<p>Релиз - RL-T1-118600</p>
<p>Не могу собрать поставку из-за ошибки invalid build status - https://sfera.inno.local/orchestration7/dashboard/PPCF/project/9ac7acc0-cb69-49ac-a7d7-4f45c94ff93d/builds/1046372</p>
<p>Ссылки - на билды https://sfera.inno.local/orchestration3/dashboard/GRCR/project/50481d8a-e859-4432-afa6-e44fb79a2fd2/builds/1518287 и https://sfera.inno.local/orchestration3/dashboard/GRCR/project/bcf87e23-bc7c-48da-a8e2-14047305d9d1/builds/1518288</p>
<p>В них ошибки на этапе SCA - [DEBUG] Необработанное исключение SCA: java.lang.NumberFormatException: For input string: ""null""&nbsp;</p>";devops_support
CRFLOMNIY-490;Упала сборка в регионе оркестратор4;Средний;Закрыто;07.10.2025;11.09.2025;"<p>https://sfera.test.vtb.ru/orchestration4/dashboard/PPCF/project/014fca19-c68b-4f86-9513-0f3bdd0b4233/builds/1548542</p>
<p>Можно уточнитиь причину и как пофиксить?</p>";devops_support,devops_консультация,devops_инструменты
CRFLOMNIN-600;Доступ в T1 Облако;Средний;Выполнено;12.09.2025;11.09.2025;"<p>Доступ в T1 Облако https://console.privatecloud.inno.tech/<br />Для простраства ИС 2199 PPCF на контурах:<br />ДЕВ: простотр и редактирование<br />ИФТ: &nbsp;простотр и редактирование<br /><br />Пользователь:<br />&nbsp;Логин инно: ssherstyankin_se<br />&nbsp;Логин региона: vtb4112521<br /><br /></p>";devops_support,devops_cloud_доступ
CRFLDEVOPS-2100;Выпустить сертификаты для подключения к очередям Artemis 2238;Средний;Выполнено;16.09.2025;11.09.2025;<p>Нужно выпустить сертификаты для сред ИФТ ПРЕПРОД ПРОД (если для какой-то среды создать через DevOps невозможно просьба в комментариях описать к кому обратиться) для подключения к Artemis между системами:<br />из 2197 ACRP в 2238 SROB</p>;devops_doul,devops_support,devops_консультация
CRFLOMNIB-3113;Необходимо перенести дистрибутивы ИС 2197 из inno.local в region;Высокий;Выполнено;11.09.2025;11.09.2025;"<p>Добрый день!</p>
<p>&nbsp;</p>
<p>Для Акта ввода в эскплуатацию ИС 2197 требуется отправить дистрибутивы МС ИС 2197 в АППД (архиф программной документации ВТБ).&nbsp;</p>
<p>Переслать .zip файлы с кодом по почте из контура DEV в Region невозможно, Антиспам система ВТБ блокирует все такие письма.</p>
<p>&nbsp;</p>
<p>Прошу предоставить джобу для отправки дистриутивов ИС 2197 в контур Region. Спасибо!</p>";devops_support
CRFLOMNIG-2173;Создание баз данных для dev и ИФТ контура в 1830;Высокий;Выполнено;18.09.2025;11.09.2025;"<p>Номер ИС: 1830.</p>
<p>Контур: dev &amp; IFT</p>
<p>&nbsp;</p>
<p>В целях синхронизации контуров IFT и dev с ПреПродом и Продом прошу создать две базы данных в каждом контуре:<br /><br />t_close_contract и t_crpr01_main. В БД t_crpr01_main также необходимо создать роль t_crpr01_app</p>";devops_db,devops_консультация,devops_support
CRFLOMNIG-2172;КОПИЯ Не работает джоба Liquibase/Execute на k4 для отката микросервиса;Критический;Закрыто;11.09.2025;11.09.2025;"<p>Номер ИС: 1830.<br />Название МС: crpr-close-contract.</p>
<p>Контур: ПреПрод.</p>
<p>Ветка: release/RL-T1-117751_preprod</p>
<p>&nbsp;</p>
<p>Запускали джобу Liquibase/Execute с актуальной версией сервиса и настройками liquibase.yaml:</p>
<p>&nbsp;</p>
<p>liquibase:<br />&nbsp; image:<br />&nbsp; &nbsp; name: liquibase-{{ .Values.helmfile.releaseName }}<br />&nbsp; &nbsp; tag: {{ .Values.image.tag }}<br />&nbsp; config:<br />&nbsp; &nbsp; liquibase:<br />&nbsp; &nbsp; &nbsp; base_name: {{ .Values.helmfile.releaseName }}<br />&nbsp; &nbsp; &nbsp; version: {{ .Values.image.tag }}<br />&nbsp; &nbsp; &nbsp; action: update<br />&nbsp; &nbsp; &nbsp; create_default_schema: true<br />&nbsp; &nbsp; &nbsp; servers:<br />&nbsp; &nbsp; &nbsp; &nbsp; streaming-outbox-db:<br />&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; dbtype: streaming-outbox-db<br />&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; url: jdbc:postgresql://{{ .Values.helmfile.streamingDbConnectionString }}/{{ .Values.helmfile.liquibaseDatabaseName }}<br />&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; username: {{ .Values.helmfile.liquibaseUserName }}<br />&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; password: ${LIQUIBASE_DATABASE_PASSWORD}<br />&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; default_schema: {{ .Values.helmfile.databaseDefaultSchema }}<br />&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; liquibase_schema: {{ .Values.helmfile.databaseLiquibaseSchema }}<br />&nbsp; &nbsp; &nbsp; &nbsp; camunda-db:<br />&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; dbtype: camunda-db<br />&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; url: jdbc:postgresql://rrcrpr-pgc001lk.test.vtb.ru:5432/t_close_contract_main<br />&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; username: t_close_contract_main_admin<br />&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; password: ${DATABASE_PASSWORD}<br />&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; default_schema: close_contract_orc<br />&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; liquibase_schema: close_contract_orc_liquibase<br />&nbsp; hook:<br />&nbsp; &nbsp; deletePolicy: before-hook-creation</p>
<p>&nbsp;</p>
<p>И получили следующий лог джобы ликвибейза:</p>
<p>&nbsp;</p>
<p>Liquibase-runner, version 0.17.2 (20250506)</p>
<p><br />--- 2025-09-10 15:06:55.676711 --- Liquibase enabled<br />&nbsp; &nbsp; base_name: &nbsp;crpr-close-contract<br />&nbsp; &nbsp; version: 0.3.58.7 (env forced)<br />&nbsp; &nbsp; action: rollback (env forced)<br />&nbsp; &nbsp; create_default_schema: &nbsp;True</p>
<p>--- 2025-09-10 15:06:55.676962 --- Servers to update<br />srv: &nbsp;camunda-db<br />&nbsp; &nbsp; dbtype: &nbsp;camunda-db<br />&nbsp; &nbsp; url: &nbsp;jdbc:postgresql://rrcrpr-pgc001lk.test.vtb.ru:5432/t_close_contract_main<br />&nbsp; &nbsp; username: &nbsp;t_close_contract_main_admin<br />&nbsp; &nbsp; password: ********<br />&nbsp; &nbsp; default_schema: &nbsp;close_contract_orc<br />&nbsp; &nbsp; liquibase_schema: &nbsp;close_contract_orc_liquibase<br />&nbsp; &nbsp; changelog_file: &nbsp;changelog/camunda-db/liquibase-changeLog.xml</p>
<p>--- 2025-09-10 15:06:55.677498 --- Check if db is available and liquibase_schema exists</p>
<p>Something went wrong: &nbsp;Starting Liquibase at 15:07:00 using Java 17.0.13 (version 4.30.0 #4943 built at 2024-10-31 17:00+0000)<br />Liquibase Version: 4.30.0<br />Liquibase Open Source 4.30.0 by Liquibase<br />WARNING:&nbsp;</p>
<p>Liquibase detected the following invalid LIQUIBASE_* environment variables:</p>
<p>- LIQUIBASE_DATABASE_PASSWORD</p>
<p>Find the list of valid environment variables at https://docs.liquibase.com/environment-variables</p>
<p>ERROR: Exception Details<br />ERROR: Exception Primary Class: &nbsp;PSQLException<br />ERROR: Exception Primary Reason: &nbsp;ERROR: no schema has been selected to create in<br />&nbsp; Position: 14<br />ERROR: Exception Primary Source: &nbsp;PostgreSQL 15.8 (Debian 15.8-1.pgdg100+1)</p>
<p>Unexpected error running Liquibase: ERROR: no schema has been selected to create in<br />&nbsp; Position: 14 [Failed SQL: (0) CREATE TABLE databasechangeloglock (ID INTEGER NOT NULL, LOCKED BOOLEAN NOT NULL, LOCKGRANTED TIMESTAMP WITHOUT TIME ZONE, LOCKEDBY VARCHAR(255), CONSTRAINT databasechangeloglock_pkey PRIMARY KEY (ID))]</p>
<p>For more information, please use the --log-level flag</p>
<p>&nbsp;</p>";devops_консультация,devops_support
